benchmark,benchmark_file,difficulty,model,model_label,cheatsheet,cheatsheet_label,total,accuracy,f1_score,true_accuracy,false_accuracy,parse_success_rate,avg_time_s,estimated_cost_usd,cost_basis,timestamp
normal_balanced20_true10_false10_seed0,normal_balanced20_true10_false10_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24a,v24a,20,0.8500,0.8571,0.9000,0.8000,1.0000,16.01,0.025329,exact,2026-04-05 16:36:58
normal_balanced20_true10_false10_seed1,normal_balanced20_true10_false10_seed1.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23b,v23b,20,0.8500,0.8696,1.0000,0.7000,1.0000,14.05,0.018175,exact,2026-04-03 17:26:18
normal_balanced20_true10_false10_seed1,normal_balanced20_true10_false10_seed1.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,20,0.8500,0.8696,1.0000,0.7000,1.0000,19.22,0.018305,exact,2026-04-03 17:42:58
normal_balanced20_true10_false10_seed2,normal_balanced20_true10_false10_seed2.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,20,0.9000,0.9091,1.0000,0.8000,1.0000,10.99,0.014841,exact,2026-04-03 10:12:34
normal_balanced20_true10_false10_seed2,normal_balanced20_true10_false10_seed2.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,20,0.9000,0.9091,1.0000,0.8000,1.0000,12.02,0.018490,exact,2026-04-03 17:53:09
normal_balanced60_true30_false30_rotation0001_20260403_163406,normal_balanced60_true30_false30_rotation0001_20260403_163406.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,60,0.8833,0.8955,1.0000,0.7667,1.0000,13.10,0.044842,exact,2026-04-03 10:49:24
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,60,0.9333,0.9375,1.0000,0.8667,1.0000,9.33,0.045096,exact,2026-04-03 13:08:38
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,60,0.8000,0.7857,0.7333,0.8667,0.8667,14.46,0.065778,exact,2026-04-03 15:01:40
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,60,0.9333,0.9375,1.0000,0.8667,1.0000,13.11,0.056003,exact,2026-04-03 18:13:14
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24a,v24a,60,0.8833,0.8852,0.9000,0.8667,0.9667,17.61,0.075449,exact,2026-04-05 17:04:29
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24b,v24b,60,0.9167,0.9231,1.0000,0.8333,0.9500,17.67,0.060510,exact,2026-04-05 17:28:29
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24c,v24c,60,0.9167,0.9180,0.9333,0.9000,0.9833,17.39,0.070953,exact,2026-04-05 18:51:39
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24d,v24d,60,0.8833,0.8852,0.9000,0.8667,0.9667,23.39,0.068867,exact,2026-04-05 19:25:45
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24e,v24e,60,0.9000,0.9032,0.9333,0.8667,0.9833,13.78,0.068222,exact,2026-04-06 17:59:56
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24f,v24f,60,0.9000,0.9062,0.9667,0.8333,1.0000,14.32,0.066927,exact,2026-04-06 18:19:17
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24g,v24g,60,0.9167,0.9206,0.9667,0.8667,1.0000,18.96,0.066076,exact,2026-04-06 18:45:25
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24h,v24h,60,0.9167,0.9231,1.0000,0.8333,1.0000,13.31,0.053408,exact,2026-04-06 19:16:41
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24i,v24i,60,0.9167,0.9231,1.0000,0.8333,0.9833,16.40,0.078895,exact,2026-04-07 17:19:18
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,60,0.9333,0.9375,1.0000,0.8667,1.0000,14.06,0.076143,exact,2026-04-07 18:26:07
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,60,0.6667,0.7297,0.9000,0.4333,0.9667,23.20,0.068309,exact,2026-04-07 19:21:30
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,60,0.9167,0.9206,0.9667,0.8667,1.0000,19.39,0.081347,exact,2026-04-07 19:41:43
normal_balanced60_true30_false30_rotation0002_20260403_185904,normal_balanced60_true30_false30_rotation0002_20260403_185904.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,60,0.9000,0.9091,1.0000,0.8000,1.0000,14.74,0.081630,exact,2026-04-07 20:20:47
