Equation,Implies,Implied by,Does not imply,Not implied by,Unknown,Unknown by
Equation156[x = (x ◇ y) ◇ (x ◇ x)],9,1872,4684,2821,0,0
Equation159[x = (x ◇ y) ◇ (y ◇ x)],2,1881,4691,2812,0,0
Equation160[x = (x ◇ y) ◇ (y ◇ y)],4,1687,4689,3006,0,0
Equation161[x = (x ◇ y) ◇ (y ◇ z)],61,1685,4632,3008,0,0
Equation162[x = (x ◇ y) ◇ (z ◇ x)],45,1864,4648,2829,0,0
Equation166[x = (y ◇ x) ◇ (x ◇ x)],9,1718,4684,2975,0,0
Equation167[x = (y ◇ x) ◇ (x ◇ y)],2,1499,4691,3194,0,0
Equation168[x = (y ◇ x) ◇ (x ◇ z)],45,1498,4648,3195,0,0
Equation203[x = (x ◇ (x ◇ x)) ◇ x],1,1903,4692,2790,0,0
Equation205[x = (x ◇ (x ◇ y)) ◇ x],7,1807,4686,2886,0,0
Equation206[x = (x ◇ (x ◇ y)) ◇ y],16,1679,4677,3014,0,0
Equation208[x = (x ◇ (y ◇ x)) ◇ x],14,1789,4679,2904,0,0
Equation209[x = (x ◇ (y ◇ x)) ◇ y],4,1688,4689,3005,0,0
Equation211[x = (x ◇ (y ◇ y)) ◇ x],2,1786,4691,2907,0,0
Equation218[x = (y ◇ (x ◇ x)) ◇ x],15,1610,4678,3083,0,0
Equation219[x = (y ◇ (x ◇ x)) ◇ y],4,1497,4689,3196,0,0
Equation221[x = (y ◇ (x ◇ y)) ◇ x],2,1583,4691,3110,0,0
Equation222[x = (y ◇ (x ◇ y)) ◇ y],9,1496,4684,3197,0,0
Equation224[x = (y ◇ (x ◇ z)) ◇ x],106,1572,4587,3121,0,0
Equation228[x = (y ◇ (y ◇ x)) ◇ x],47,1582,4646,3111,0,0
Equation229[x = (y ◇ (y ◇ x)) ◇ y],6,1497,4687,3196,0,0
Equation231[x = (y ◇ (y ◇ y)) ◇ x],2,1583,4691,3110,0,0
Equation238[x = (y ◇ (z ◇ x)) ◇ x],151,1573,4542,3120,0,0
Equation242[x = (y ◇ (z ◇ y)) ◇ x],95,1570,4598,3123,0,0
Equation246[x = (y ◇ (z ◇ z)) ◇ x],72,1577,4621,3116,0,0
Equation255[x = ((x ◇ x) ◇ x) ◇ x],1,1830,4692,2863,0,0
Equation256[x = ((x ◇ x) ◇ x) ◇ y],346,1642,4347,3051,0,0
Equation257[x = ((x ◇ x) ◇ y) ◇ x],11,1722,4682,2971,0,0
Equation258[x = ((x ◇ x) ◇ y) ◇ y],15,1647,4678,3046,0,0
Equation260[x = ((x ◇ y) ◇ x) ◇ x],7,1746,4686,2947,0,0
Equation261[x = ((x ◇ y) ◇ x) ◇ y],2,1646,4691,3047,0,0
Equation263[x = ((x ◇ y) ◇ y) ◇ x],6,1725,4687,2968,0,0
Equation264[x = ((x ◇ y) ◇ y) ◇ y],2,1643,4691,3050,0,0
Equation266[x = ((x ◇ y) ◇ z) ◇ x],39,1717,4654,2976,0,0
Equation270[x = ((y ◇ x) ◇ x) ◇ x],49,1596,4644,3097,0,0
Equation271[x = ((y ◇ x) ◇ x) ◇ y],12,1496,4681,3197,0,0
Equation273[x = ((y ◇ x) ◇ y) ◇ x],4,1567,4689,3126,0,0
Equation274[x = ((y ◇ x) ◇ y) ◇ y],2,1497,4691,3196,0,0
Equation280[x = ((y ◇ y) ◇ x) ◇ x],3,1593,4690,3100,0,0
Equation283[x = ((y ◇ y) ◇ y) ◇ x],2,1569,4691,3124,0,0
Equation307[x ◇ x = x ◇ (x ◇ x)],2,2617,4691,2076,0,0
Equation308[x ◇ x = x ◇ (x ◇ y)],9,2337,4684,2356,0,0
Equation309[x ◇ x = x ◇ (y ◇ x)],11,2418,4682,2275,0,0
Equation310[x ◇ x = x ◇ (y ◇ y)],9,2341,4684,2352,0,0
Equation311[x ◇ x = x ◇ (y ◇ z)],62,2298,4631,2395,0,0
Equation312[x ◇ x = y ◇ (x ◇ x)],14,2077,4679,2616,0,0
Equation313[x ◇ x = y ◇ (x ◇ y)],10,1918,4683,2775,0,0
Equation314[x ◇ x = y ◇ (x ◇ z)],286,1916,4407,2777,0,0
Equation315[x ◇ x = y ◇ (y ◇ x)],8,2027,4685,2666,0,0
Equation316[x ◇ x = y ◇ (y ◇ y)],50,1954,4643,2739,0,0
Equation317[x ◇ x = y ◇ (y ◇ z)],85,1917,4608,2776,0,0
Equation318[x ◇ x = y ◇ (z ◇ x)],77,2025,4616,2668,0,0
Equation319[x ◇ x = y ◇ (z ◇ y)],93,1917,4600,2776,0,0
Equation323[x ◇ y = x ◇ (x ◇ y)],4,2445,4689,2248,0,0
Equation325[x ◇ y = x ◇ (y ◇ x)],6,2305,4687,2388,0,0
Equation326[x ◇ y = x ◇ (y ◇ y)],6,2491,4687,2202,0,0
Equation327[x ◇ y = x ◇ (y ◇ z)],41,2302,4652,2391,0,0
Equation329[x ◇ y = x ◇ (z ◇ y)],41,2408,4652,2285,0,0
Equation332[x ◇ y = y ◇ (x ◇ x)],37,1917,4656,2776,0,0
Equation333[x ◇ y = y ◇ (x ◇ y)],6,2031,4687,2662,0,0
Equation335[x ◇ y = y ◇ (y ◇ x)],11,1915,4682,2778,0,0
Equation336[x ◇ y = y ◇ (y ◇ y)],398,2022,4295,2671,0,0
Equation343[x ◇ y = z ◇ (x ◇ y)],41,2027,4652,2666,0,0
Equation359[x ◇ x = (x ◇ x) ◇ x],2,2617,4691,2076,0,0
Equation360[x ◇ x = (x ◇ x) ◇ y],14,2077,4679,2616,0,0
Equation361[x ◇ x = (x ◇ y) ◇ x],11,2418,4682,2275,0,0
Equation362[x ◇ x = (x ◇ y) ◇ y],8,2027,4685,2666,0,0
Equation363[x ◇ x = (x ◇ y) ◇ z],77,2025,4616,2668,0,0
Equation364[x ◇ x = (y ◇ x) ◇ x],9,2337,4684,2356,0,0
Equation365[x ◇ x = (y ◇ x) ◇ y],10,1918,4683,2775,0,0
Equation366[x ◇ x = (y ◇ x) ◇ z],286,1916,4407,2777,0,0
Equation367[x ◇ x = (y ◇ y) ◇ x],9,2341,4684,2352,0,0
Equation368[x ◇ x = (y ◇ y) ◇ y],50,1954,4643,2739,0,0
Equation370[x ◇ x = (y ◇ z) ◇ x],62,2298,4631,2395,0,0
Equation371[x ◇ x = (y ◇ z) ◇ y],93,1917,4600,2776,0,0
Equation372[x ◇ x = (y ◇ z) ◇ z],85,1917,4608,2776,0,0
Equation374[x ◇ y = (x ◇ x) ◇ x],398,2022,4295,2671,0,0
Equation375[x ◇ y = (x ◇ x) ◇ y],6,2491,4687,2202,0,0
Equation377[x ◇ y = (x ◇ y) ◇ x],6,2031,4687,2662,0,0
Equation378[x ◇ y = (x ◇ y) ◇ y],4,2445,4689,2248,0,0
Equation379[x ◇ y = (x ◇ y) ◇ z],41,2027,4652,2666,0,0
Equation381[x ◇ y = (x ◇ z) ◇ y],41,2408,4652,2285,0,0
Equation384[x ◇ y = (y ◇ x) ◇ x],11,1915,4682,2778,0,0
Equation385[x ◇ y = (y ◇ x) ◇ y],6,2305,4687,2388,0,0
Equation395[x ◇ y = (z ◇ x) ◇ y],41,2302,4652,2391,0,0
Equation411[x = x ◇ (x ◇ (x ◇ (x ◇ x)))],1,2076,4692,2617,0,0
Equation412[x = x ◇ (x ◇ (x ◇ (x ◇ y)))],40,1597,4653,3096,0,0
Equation413[x = x ◇ (x ◇ (x ◇ (y ◇ x)))],2,1832,4691,2861,0,0
Equation414[x = x ◇ (x ◇ (x ◇ (y ◇ y)))],3,1655,4690,3038,0,0
Equation416[x = x ◇ (x ◇ (y ◇ (x ◇ x)))],2,1807,4691,2886,0,0
Equation417[x = x ◇ (x ◇ (y ◇ (x ◇ y)))],2,1644,4691,3049,0,0
Equation418[x = x ◇ (x ◇ (y ◇ (x ◇ z)))],61,1591,4632,3102,0,0
Equation419[x = x ◇ (x ◇ (y ◇ (y ◇ x)))],2,1879,4691,2814,0,0
Equation420[x = x ◇ (x ◇ (y ◇ (y ◇ y)))],2,1591,4691,3102,0,0
Equation422[x = x ◇ (x ◇ (y ◇ (z ◇ x)))],5,1804,4688,2889,0,0
Equation426[x = x ◇ (y ◇ (x ◇ (x ◇ x)))],2,1802,4691,2891,0,0
Equation427[x = x ◇ (y ◇ (x ◇ (x ◇ y)))],3,1599,4690,3094,0,0
Equation428[x = x ◇ (y ◇ (x ◇ (x ◇ z)))],238,1568,4455,3125,0,0
Equation429[x = x ◇ (y ◇ (x ◇ (y ◇ x)))],2,1835,4691,2858,0,0
Equation430[x = x ◇ (y ◇ (x ◇ (y ◇ y)))],9,1571,4684,3122,0,0
Equation432[x = x ◇ (y ◇ (x ◇ (z ◇ x)))],9,1801,4684,2892,0,0
Equation433[x = x ◇ (y ◇ (x ◇ (z ◇ y)))],71,1568,4622,3125,0,0
Equation434[x = x ◇ (y ◇ (x ◇ (z ◇ z)))],144,1568,4549,3125,0,0
Equation436[x = x ◇ (y ◇ (y ◇ (x ◇ x)))],2,1890,4691,2803,0,0
Equation437[x = x ◇ (y ◇ (y ◇ (x ◇ y)))],2,1570,4691,3123,0,0
Equation439[x = x ◇ (y ◇ (y ◇ (y ◇ x)))],4,1784,4689,2909,0,0
Equation440[x = x ◇ (y ◇ (y ◇ (y ◇ y)))],2,1621,4691,3072,0,0
Equation442[x = x ◇ (y ◇ (y ◇ (z ◇ x)))],12,1781,4681,2912,0,0
Equation443[x = x ◇ (y ◇ (y ◇ (z ◇ y)))],5,1569,4688,3124,0,0
Equation446[x = x ◇ (y ◇ (z ◇ (x ◇ x)))],19,1779,4674,2914,0,0
Equation450[x = x ◇ (y ◇ (z ◇ (y ◇ x)))],12,1780,4681,2913,0,0
Equation452[x = x ◇ (y ◇ (z ◇ (y ◇ z)))],5,1580,4688,3113,0,0
Equation455[x = x ◇ (y ◇ (z ◇ (z ◇ y)))],48,1582,4645,3111,0,0
Equation463[x = y ◇ (x ◇ (x ◇ (x ◇ x)))],227,1705,4466,2988,0,0
Equation464[x = y ◇ (x ◇ (x ◇ (x ◇ y)))],11,1538,4682,3155,0,0
Equation466[x = y ◇ (x ◇ (x ◇ (y ◇ x)))],2,1793,4691,2900,0,0
Equation467[x = y ◇ (x ◇ (x ◇ (y ◇ y)))],2,1496,4691,3197,0,0
Equation473[x = y ◇ (x ◇ (y ◇ (x ◇ x)))],2,1744,4691,2949,0,0
Equation474[x = y ◇ (x ◇ (y ◇ (x ◇ y)))],9,1496,4684,3197,0,0
Equation476[x = y ◇ (x ◇ (y ◇ (y ◇ x)))],2,1706,4691,2987,0,0
Equation477[x = y ◇ (x ◇ (y ◇ (y ◇ y)))],2,1555,4691,3138,0,0
Equation481[x = y ◇ (x ◇ (y ◇ (z ◇ z)))],23,1514,4670,3179,0,0
Equation492[x = y ◇ (x ◇ (z ◇ (z ◇ y)))],293,1531,4400,3162,0,0
Equation500[x = y ◇ (y ◇ (x ◇ (x ◇ x)))],10,1778,4683,2915,0,0
Equation501[x = y ◇ (y ◇ (x ◇ (x ◇ y)))],2,1496,4691,3197,0,0
Equation503[x = y ◇ (y ◇ (x ◇ (y ◇ x)))],2,1706,4691,2987,0,0
Equation504[x = y ◇ (y ◇ (x ◇ (y ◇ y)))],2,1518,4691,3175,0,0
Equation508[x = y ◇ (y ◇ (x ◇ (z ◇ z)))],111,1510,4582,3183,0,0
Equation510[x = y ◇ (y ◇ (y ◇ (x ◇ x)))],6,1706,4687,2987,0,0
Equation511[x = y ◇ (y ◇ (y ◇ (x ◇ y)))],2,1546,4691,3147,0,0
Equation513[x = y ◇ (y ◇ (y ◇ (y ◇ x)))],2,1798,4691,2895,0,0
Equation543[x = y ◇ (z ◇ (x ◇ (y ◇ z)))],162,1507,4531,3186,0,0
Equation546[x = y ◇ (z ◇ (x ◇ (z ◇ y)))],70,1507,4623,3186,0,0
Equation556[x = y ◇ (z ◇ (y ◇ (x ◇ z)))],77,1513,4616,3180,0,0
Equation562[x = y ◇ (z ◇ (y ◇ (z ◇ x)))],5,1730,4688,2963,0,0
Equation614[x = x ◇ (x ◇ ((x ◇ x) ◇ x))],1,1939,4692,2754,0,0
Equation615[x = x ◇ (x ◇ ((x ◇ x) ◇ y))],3,1600,4690,3093,0,0
Equation616[x = x ◇ (x ◇ ((x ◇ y) ◇ x))],3,1754,4690,2939,0,0
Equation617[x = x ◇ (x ◇ ((x ◇ y) ◇ y))],10,1632,4683,3061,0,0
Equation618[x = x ◇ (x ◇ ((x ◇ y) ◇ z))],52,1591,4641,3102,0,0
Equation619[x = x ◇ (x ◇ ((y ◇ x) ◇ x))],2,1781,4691,2912,0,0
Equation620[x = x ◇ (x ◇ ((y ◇ x) ◇ y))],2,1652,4691,3041,0,0
Equation621[x = x ◇ (x ◇ ((y ◇ x) ◇ z))],10,1591,4683,3102,0,0
Equation622[x = x ◇ (x ◇ ((y ◇ y) ◇ x))],2,1774,4691,2919,0,0
Equation623[x = x ◇ (x ◇ ((y ◇ y) ◇ y))],2,1593,4691,3100,0,0
Equation624[x = x ◇ (x ◇ ((y ◇ y) ◇ z))],8,1592,4685,3101,0,0
Equation626[x = x ◇ (x ◇ ((y ◇ z) ◇ y))],11,1591,4682,3102,0,0
Equation629[x = x ◇ (y ◇ ((x ◇ x) ◇ x))],2,1724,4691,2969,0,0
Equation630[x = x ◇ (y ◇ ((x ◇ x) ◇ y))],2,1627,4691,3066,0,0
Equation632[x = x ◇ (y ◇ ((x ◇ y) ◇ x))],2,1750,4691,2943,0,0
Equation633[x = x ◇ (y ◇ ((x ◇ y) ◇ y))],2,1567,4691,3126,0,0
Equation635[x = x ◇ (y ◇ ((x ◇ z) ◇ x))],14,1718,4679,2975,0,0
Equation639[x = x ◇ (y ◇ ((y ◇ x) ◇ x))],2,1744,4691,2949,0,0
Equation640[x = x ◇ (y ◇ ((y ◇ x) ◇ y))],2,1568,4691,3125,0,0
Equation642[x = x ◇ (y ◇ ((y ◇ y) ◇ x))],2,1724,4691,2969,0,0
Equation643[x = x ◇ (y ◇ ((y ◇ y) ◇ y))],2,1583,4691,3110,0,0
Equation645[x = x ◇ (y ◇ ((y ◇ z) ◇ x))],11,1718,4682,2975,0,0
Equation646[x = x ◇ (y ◇ ((y ◇ z) ◇ y))],7,1567,4686,3126,0,0
Equation647[x = x ◇ (y ◇ ((y ◇ z) ◇ z))],47,1573,4646,3120,0,0
Equation653[x = x ◇ (y ◇ ((z ◇ y) ◇ x))],5,1720,4688,2973,0,0
Equation655[x = x ◇ (y ◇ ((z ◇ y) ◇ z))],50,1579,4643,3114,0,0
Equation657[x = x ◇ (y ◇ ((z ◇ z) ◇ x))],5,1718,4688,2975,0,0
Equation658[x = x ◇ (y ◇ ((z ◇ z) ◇ y))],47,1580,4646,3113,0,0
Equation667[x = y ◇ (x ◇ ((x ◇ x) ◇ y))],2,1524,4691,3169,0,0
Equation669[x = y ◇ (x ◇ ((x ◇ y) ◇ x))],2,1708,4691,2985,0,0
Equation670[x = y ◇ (x ◇ ((x ◇ y) ◇ y))],2,1496,4691,3197,0,0
Equation676[x = y ◇ (x ◇ ((y ◇ x) ◇ x))],2,1682,4691,3011,0,0
Equation677[x = y ◇ (x ◇ ((y ◇ x) ◇ y))],2,1496,4691,3197,0,0
Equation679[x = y ◇ (x ◇ ((y ◇ y) ◇ x))],2,1644,4691,3049,0,0
Equation680[x = y ◇ (x ◇ ((y ◇ y) ◇ y))],2,1560,4691,3133,0,0
Equation690[x = y ◇ (x ◇ ((z ◇ y) ◇ x))],11,1643,4682,3050,0,0
Equation692[x = y ◇ (x ◇ ((z ◇ y) ◇ z))],40,1553,4653,3140,0,0
Equation695[x = y ◇ (x ◇ ((z ◇ z) ◇ y))],70,1511,4623,3182,0,0
Equation703[x = y ◇ (y ◇ ((x ◇ x) ◇ x))],6,1690,4687,3003,0,0
Equation704[x = y ◇ (y ◇ ((x ◇ x) ◇ y))],2,1496,4691,3197,0,0
Equation706[x = y ◇ (y ◇ ((x ◇ y) ◇ x))],2,1646,4691,3047,0,0
Equation707[x = y ◇ (y ◇ ((x ◇ y) ◇ y))],2,1568,4691,3125,0,0
Equation713[x = y ◇ (y ◇ ((y ◇ x) ◇ x))],3,1646,4690,3047,0,0
Equation714[x = y ◇ (y ◇ ((y ◇ x) ◇ y))],14,1545,4679,3148,0,0
Equation716[x = y ◇ (y ◇ ((y ◇ y) ◇ x))],6,1663,4687,3030,0,0
Equation723[x = y ◇ (y ◇ ((z ◇ x) ◇ x))],34,1645,4659,3048,0,0
Equation727[x = y ◇ (y ◇ ((z ◇ y) ◇ x))],21,1645,4672,3048,0,0
Equation731[x = y ◇ (y ◇ ((z ◇ z) ◇ x))],19,1654,4674,3039,0,0
Equation765[x = y ◇ (z ◇ ((y ◇ z) ◇ x))],63,1651,4630,3042,0,0
Equation778[x = y ◇ (z ◇ ((z ◇ y) ◇ x))],25,1654,4668,3039,0,0
Equation817[x = x ◇ ((x ◇ x) ◇ (x ◇ x))],1,1927,4692,2766,0,0
Equation818[x = x ◇ ((x ◇ x) ◇ (x ◇ y))],3,1622,4690,3071,0,0
Equation819[x = x ◇ ((x ◇ x) ◇ (y ◇ x))],2,1769,4691,2924,0,0
Equation820[x = x ◇ ((x ◇ x) ◇ (y ◇ y))],10,1652,4683,3041,0,0
Equation822[x = x ◇ ((x ◇ y) ◇ (x ◇ x))],3,1736,4690,2957,0,0
Equation823[x = x ◇ ((x ◇ y) ◇ (x ◇ y))],10,1644,4683,3049,0,0
Equation824[x = x ◇ ((x ◇ y) ◇ (x ◇ z))],127,1575,4566,3118,0,0
Equation825[x = x ◇ ((x ◇ y) ◇ (y ◇ x))],2,1745,4691,2948,0,0
Equation826[x = x ◇ ((x ◇ y) ◇ (y ◇ y))],2,1583,4691,3110,0,0
Equation827[x = x ◇ ((x ◇ y) ◇ (y ◇ z))],59,1575,4634,3118,0,0
Equation828[x = x ◇ ((x ◇ y) ◇ (z ◇ x))],12,1725,4681,2968,0,0
Equation829[x = x ◇ ((x ◇ y) ◇ (z ◇ y))],127,1574,4566,3119,0,0
Equation832[x = x ◇ ((y ◇ x) ◇ (x ◇ x))],2,1768,4691,2925,0,0
Equation833[x = x ◇ ((y ◇ x) ◇ (x ◇ y))],2,1589,4691,3104,0,0
Equation834[x = x ◇ ((y ◇ x) ◇ (x ◇ z))],12,1573,4681,3120,0,0
Equation835[x = x ◇ ((y ◇ x) ◇ (y ◇ x))],2,1783,4691,2910,0,0
Equation836[x = x ◇ ((y ◇ x) ◇ (y ◇ y))],2,1580,4691,3113,0,0
Equation837[x = x ◇ ((y ◇ x) ◇ (y ◇ z))],8,1573,4685,3120,0,0
Equation838[x = x ◇ ((y ◇ x) ◇ (z ◇ x))],5,1725,4688,2968,0,0
Equation839[x = x ◇ ((y ◇ x) ◇ (z ◇ y))],71,1574,4622,3119,0,0
Equation840[x = x ◇ ((y ◇ x) ◇ (z ◇ z))],68,1575,4625,3118,0,0
Equation842[x = x ◇ ((y ◇ y) ◇ (x ◇ x))],2,1781,4691,2912,0,0
Equation843[x = x ◇ ((y ◇ y) ◇ (x ◇ y))],2,1582,4691,3111,0,0
Equation844[x = x ◇ ((y ◇ y) ◇ (x ◇ z))],47,1579,4646,3114,0,0
Equation845[x = x ◇ ((y ◇ y) ◇ (y ◇ x))],2,1734,4691,2959,0,0
Equation846[x = x ◇ ((y ◇ y) ◇ (y ◇ y))],2,1621,4691,3072,0,0
Equation847[x = x ◇ ((y ◇ y) ◇ (y ◇ z))],7,1578,4686,3115,0,0
Equation848[x = x ◇ ((y ◇ y) ◇ (z ◇ x))],6,1730,4687,2963,0,0
Equation854[x = x ◇ ((y ◇ z) ◇ (x ◇ z))],28,1569,4665,3124,0,0
Equation856[x = x ◇ ((y ◇ z) ◇ (y ◇ x))],10,1718,4683,2975,0,0
Equation860[x = x ◇ ((y ◇ z) ◇ (z ◇ x))],5,1718,4688,2975,0,0
Equation861[x = x ◇ ((y ◇ z) ◇ (z ◇ y))],5,1573,4688,3120,0,0
Equation870[x = y ◇ ((x ◇ x) ◇ (x ◇ y))],2,1520,4691,3173,0,0
Equation872[x = y ◇ ((x ◇ x) ◇ (y ◇ x))],2,1664,4691,3029,0,0
Equation873[x = y ◇ ((x ◇ x) ◇ (y ◇ y))],2,1498,4691,3195,0,0
Equation879[x = y ◇ ((x ◇ y) ◇ (x ◇ x))],2,1666,4691,3027,0,0
Equation880[x = y ◇ ((x ◇ y) ◇ (x ◇ y))],7,1496,4686,3197,0,0
Equation882[x = y ◇ ((x ◇ y) ◇ (y ◇ x))],2,1646,4691,3047,0,0
Equation883[x = y ◇ ((x ◇ y) ◇ (y ◇ y))],2,1511,4691,3182,0,0
Equation887[x = y ◇ ((x ◇ y) ◇ (z ◇ z))],298,1507,4395,3186,0,0
Equation895[x = y ◇ ((x ◇ z) ◇ (y ◇ z))],662,1501,4031,3192,0,0
Equation898[x = y ◇ ((x ◇ z) ◇ (z ◇ y))],15,1504,4678,3189,0,0
Equation906[x = y ◇ ((y ◇ x) ◇ (x ◇ x))],2,1664,4691,3029,0,0
Equation907[x = y ◇ ((y ◇ x) ◇ (x ◇ y))],2,1496,4691,3197,0,0
Equation910[x = y ◇ ((y ◇ x) ◇ (y ◇ y))],7,1517,4686,3176,0,0
Equation916[x = y ◇ ((y ◇ y) ◇ (x ◇ x))],9,1645,4684,3048,0,0
Equation917[x = y ◇ ((y ◇ y) ◇ (x ◇ y))],2,1523,4691,3170,0,0
Equation947[x = y ◇ ((z ◇ x) ◇ (y ◇ x))],36,1643,4657,3050,0,0
Equation960[x = y ◇ ((z ◇ y) ◇ (x ◇ x))],34,1644,4659,3049,0,0
Equation978[x = y ◇ ((z ◇ z) ◇ (x ◇ y))],83,1516,4610,3177,0,0
Equation1020[x = x ◇ ((x ◇ (x ◇ x)) ◇ x)],1,2050,4692,2643,0,0
Equation1021[x = x ◇ ((x ◇ (x ◇ x)) ◇ y)],3,1592,4690,3101,0,0
Equation1022[x = x ◇ ((x ◇ (x ◇ y)) ◇ x)],3,1809,4690,2884,0,0
Equation1023[x = x ◇ ((x ◇ (x ◇ y)) ◇ y)],2,1628,4691,3065,0,0
Equation1025[x = x ◇ ((x ◇ (y ◇ x)) ◇ x)],9,1814,4684,2879,0,0
Equation1026[x = x ◇ ((x ◇ (y ◇ x)) ◇ y)],3,1609,4690,3084,0,0
Equation1027[x = x ◇ ((x ◇ (y ◇ x)) ◇ z)],120,1575,4573,3118,0,0
Equation1028[x = x ◇ ((x ◇ (y ◇ y)) ◇ x)],2,1847,4691,2846,0,0
Equation1029[x = x ◇ ((x ◇ (y ◇ y)) ◇ y)],2,1583,4691,3110,0,0
Equation1032[x = x ◇ ((x ◇ (y ◇ z)) ◇ y)],60,1575,4633,3118,0,0
Equation1033[x = x ◇ ((x ◇ (y ◇ z)) ◇ z)],128,1574,4565,3119,0,0
Equation1035[x = x ◇ ((y ◇ (x ◇ x)) ◇ x)],2,1810,4691,2883,0,0
