benchmark,benchmark_file,difficulty,model,model_label,cheatsheet,cheatsheet_label,total,accuracy,f1_score,true_accuracy,false_accuracy,parse_success_rate,avg_time_s,estimated_cost_usd,cost_basis,timestamp
hard3_balanced20_true10_false10_rotation0011_20260413_042258_v26b_gpt-oss-120b,hard3_balanced20_true10_false10_rotation0011_20260413_042258_v26b_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26b,v26b,20,0.7500,0.8000,1.0000,0.5000,1.0000,14.37,0.077599,exact,2026-04-12 22:31:13
hard3_balanced20_true10_false10_rotation0017_20260415_021226_v26f_gpt-oss-120b,hard3_balanced20_true10_false10_rotation0017_20260415_021226_v26f_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26f,v26f,20,0.7000,0.7500,0.9000,0.5000,0.9000,54.66,0.095459,exact,2026-04-14 21:15:54
hard3_balanced30_true0_false30_rotation0007_20260412_031528_v26a_gpt-oss-120b,hard3_balanced30_true0_false30_rotation0007_20260412_031528_v26a_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,30,0.3667,0.0000,0.0000,0.3667,1.0000,12.13,0.113460,exact,2026-04-11 21:38:20
hard3_balanced30_true15_false15_rotation0008_20260412_034307_v26a_gpt-oss-120b,hard3_balanced30_true15_false15_rotation0008_20260412_034307_v26a_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,30,0.7000,0.7692,1.0000,0.4000,1.0000,8.98,0.110841,exact,2026-04-11 21:55:45
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,40,0.5000,0.6667,1.0000,0.0000,1.0000,9.25,0.030388,exact,2026-04-03 13:14:53
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,40,0.4500,0.6071,0.8500,0.0500,0.8500,15.93,0.046568,exact,2026-04-03 15:12:37
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,40,0.5000,0.6667,1.0000,0.0000,1.0000,16.74,0.038796,exact,2026-04-03 18:28:26
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24b,v24b,40,0.4250,0.5965,0.8500,0.0000,0.9750,21.61,0.043087,exact,2026-04-05 17:47:13
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24h,v24h,40,0.5000,0.6667,1.0000,0.0000,0.9750,9.73,0.036589,exact,2026-04-06 19:40:09
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24i,v24i,40,0.6250,0.7170,0.9500,0.3000,0.9750,20.81,0.057453,exact,2026-04-07 17:33:37
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,40,0.5250,0.6545,0.9000,0.1500,1.0000,20.19,0.054760,exact,2026-04-07 18:39:50
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,40,0.7250,0.7843,1.0000,0.4500,1.0000,23.98,0.058592,exact,2026-04-07 19:58:15
hard3_balanced40_true20_false20_rotation0002_20260403_185904,hard3_balanced40_true20_false20_rotation0002_20260403_185904.jsonl,hard3,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,40,0.6500,0.7308,0.9500,0.3500,1.0000,20.25,0.058921,exact,2026-04-07 20:19:38
hard3_balanced40_true20_false20_rotation0002_20260403_185904_v24j_gpt-oss-120b,hard3_balanced40_true20_false20_rotation0002_20260403_185904_v24j_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v24j,v24j,40,0.6250,0.7273,1.0000,0.2500,1.0000,12.70,0.136865,exact,2026-04-11 19:04:15
hard3_balanced40_true20_false20_rotation0002_20260403_185904_v26a_gpt-oss-120b,hard3_balanced40_true20_false20_rotation0002_20260403_185904_v26a_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,40,0.6750,0.7547,1.0000,0.3500,1.0000,15.17,0.154451,exact,2026-04-11 18:55:17
hard3_balanced40_true20_false20_rotation0002_20260403_185904_v26a_gpt-oss-120b,hard3_balanced40_true20_false20_rotation0002_20260403_185904_v26a_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,40,0.7000,0.7692,1.0000,0.4000,1.0000,11.77,0.153772,exact,2026-04-11 19:18:18
hard3_balanced40_true20_false20_rotation0014_20260415_014503_v26f_gpt-oss-120b,hard3_balanced40_true20_false20_rotation0014_20260415_014503_v26f_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26f,v26f,40,0.6500,0.6957,0.8000,0.5000,0.9000,71.44,0.195244,exact,2026-04-14 21:30:27
hard3_balanced50_true10_false40_rotation0012_20260413_161807_v26b_gpt-oss-120b,hard3_balanced50_true10_false40_rotation0012_20260413_161807_v26b_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26b,v26b,50,0.5000,0.4444,1.0000,0.3750,1.0000,31.52,0.194050,exact,2026-04-13 12:05:31
hard3_balanced50_true10_false40_rotation0012_20260413_161807_v26c_gpt-oss-120b,hard3_balanced50_true10_false40_rotation0012_20260413_161807_v26c_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26c,v26c,50,0.4600,0.3721,0.8000,0.3750,0.9800,52.73,0.245614,exact,2026-04-13 14:54:05
hard3_balanced50_true10_false40_rotation0012_20260413_161807_v26d_gpt-oss-120b,hard3_balanced50_true10_false40_rotation0012_20260413_161807_v26d_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v26d,v26d,50,0.6800,0.5556,1.0000,0.6000,1.0000,41.89,0.269637,exact,2026-04-13 19:01:23
hard3_balanced60_true30_false30_rotation0006_20260411_222025_v23c_gpt-oss-120b,hard3_balanced60_true30_false30_rotation0006_20260411_222025_v23c_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v23c,v23c,60,0.5000,0.6667,1.0000,0.0000,1.0000,7.17,0.149438,exact,2026-04-11 16:33:41
hard3_balanced60_true30_false30_rotation0006_20260411_222025_v24j_gpt-oss-120b,hard3_balanced60_true30_false30_rotation0006_20260411_222025_v24j_gpt-oss-120b.jsonl,hard3,openai/gpt-oss-120b,GPT-OSS-120B,v24j,v24j,60,0.5833,0.7059,1.0000,0.1667,1.0000,7.58,0.195627,exact,2026-04-11 16:41:21
hard_balanced20_true10_false10_rotation0005_20260411_203024_v23c_gemma-4-31b-it,hard_balanced20_true10_false10_rotation0005_20260411_203024_v23c_gemma-4-31b-it.jsonl,hard,google/gemma-4-31b-it,Gemma 4 31B IT,v23c,v23c,20,0.5500,0.6897,1.0000,0.1000,1.0000,53.35,0.011997,exact,2026-04-11 14:58:53
hard_balanced20_true10_false10_rotation0005_20260411_203024_v23c_gpt-oss-120b,hard_balanced20_true10_false10_rotation0005_20260411_203024_v23c_gpt-oss-120b.jsonl,hard,openai/gpt-oss-120b,GPT-OSS-120B,v23c,v23c,20,0.5500,0.6897,1.0000,0.1000,1.0000,23.40,0.050367,exact,2026-04-11 14:44:08
hard_balanced20_true10_false10_rotation0005_20260411_203024_v24j_gemma-4-31b-it,hard_balanced20_true10_false10_rotation0005_20260411_203024_v24j_gemma-4-31b-it.jsonl,hard,google/gemma-4-31b-it,Gemma 4 31B IT,v24j,v24j,20,0.5500,0.6897,1.0000,0.1000,1.0000,59.79,0.017763,exact,2026-04-11 15:33:31
hard_balanced20_true10_false10_rotation0005_20260411_203024_v24j_gpt-oss-120b,hard_balanced20_true10_false10_rotation0005_20260411_203024_v24j_gpt-oss-120b.jsonl,hard,openai/gpt-oss-120b,GPT-OSS-120B,v24j,v24j,20,0.5500,0.6897,1.0000,0.1000,1.0000,18.69,0.065781,exact,2026-04-11 14:53:57
hard_balanced40_true20_false20_rotation0001_20260403_163406,hard_balanced40_true20_false20_rotation0001_20260403_163406.jsonl,hard,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,40,0.5500,0.6897,1.0000,0.1000,1.0000,13.88,0.030423,exact,2026-04-03 10:58:51
hard_v24j_llama-3-3-70b-instruct,hard_v24j_llama-3-3-70b-instruct.jsonl,hard,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,200,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.144294,estimated,2026-04-11 11:25:13
magma_eval_test_10,magma_eval_test_10.jsonl,magma,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,magma_eval_test,magma_eval_test,8,0.8750,0.8571,1.0000,0.8000,1.0000,15.85,0.005833,exact,2026-04-05 18:23:13
mixed_hard23_balanced60_true30_false30_rotation0013_20260414_010332_v26d_gpt-oss-120b,mixed_hard23_balanced60_true30_false30_rotation0013_20260414_010332_v26d_gpt-oss-120b.jsonl,mixed,openai/gpt-oss-120b,GPT-OSS-120B,v26d,v26d,60,0.6500,0.7123,0.8667,0.4333,0.9833,49.25,0.324190,exact,2026-04-13 19:53:14
mixed_hard23_balanced60_true30_false30_rotation0013_20260414_010332_v26e_gpt-oss-120b,mixed_hard23_balanced60_true30_false30_rotation0013_20260414_010332_v26e_gpt-oss-120b.jsonl,mixed,openai/gpt-oss-120b,GPT-OSS-120B,v26e,v26e,60,0.5667,0.6977,1.0000,0.1333,1.0000,37.65,0.263317,exact,2026-04-13 21:44:59
normal_balanced10_true5_false5_seed0,normal_balanced10_true5_false5_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23a,v23a,10,0.7000,0.7692,1.0000,0.4000,1.0000,22.29,0.011617,exact,2026-04-03 17:03:38
normal_balanced10_true5_false5_seed0,normal_balanced10_true5_false5_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23b,v23b,10,0.9000,0.9091,1.0000,0.8000,1.0000,14.72,0.009163,exact,2026-04-03 17:10:38
normal_balanced10_true5_false5_seed0,normal_balanced10_true5_false5_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,10,0.9000,0.9091,1.0000,0.8000,1.0000,20.05,0.009408,exact,2026-04-03 17:34:05
normal_balanced10_true5_false5_seed1,normal_balanced10_true5_false5_seed1.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23b,v23b,10,0.8000,0.8333,1.0000,0.6000,1.0000,15.80,0.008883,exact,2026-04-03 17:13:27
normal_balanced10_true5_false5_seed1,normal_balanced10_true5_false5_seed1.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,10,0.8000,0.8333,1.0000,0.6000,1.0000,13.31,0.009244,exact,2026-04-03 17:36:25
normal_balanced20_true10_false10_rotation0005_20260411_203024_v23c_gemma-4-31b-it,normal_balanced20_true10_false10_rotation0005_20260411_203024_v23c_gemma-4-31b-it.jsonl,normal,google/gemma-4-31b-it,Gemma 4 31B IT,v23c,v23c,20,0.8500,0.8696,1.0000,0.7000,1.0000,30.57,0.011631,exact,2026-04-11 14:41:06
normal_balanced20_true10_false10_rotation0005_20260411_203024_v23c_gpt-oss-120b,normal_balanced20_true10_false10_rotation0005_20260411_203024_v23c_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v23c,v23c,20,0.8500,0.8696,1.0000,0.7000,1.0000,15.63,0.048058,exact,2026-04-11 14:36:19
normal_balanced20_true10_false10_rotation0005_20260411_203024_v24j_gemma-4-31b-it,normal_balanced20_true10_false10_rotation0005_20260411_203024_v24j_gemma-4-31b-it.jsonl,normal,google/gemma-4-31b-it,Gemma 4 31B IT,v24j,v24j,20,0.8500,0.8696,1.0000,0.7000,1.0000,44.08,0.016962,exact,2026-04-11 15:13:35
normal_balanced20_true10_false10_rotation0005_20260411_203024_v24j_gpt-oss-120b,normal_balanced20_true10_false10_rotation0005_20260411_203024_v24j_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v24j,v24j,20,0.8500,0.8696,1.0000,0.7000,1.0000,10.64,0.057562,exact,2026-04-11 14:47:43
normal_balanced20_true10_false10_rotation0010_20260413_032310_v26a_gpt-oss-120b,normal_balanced20_true10_false10_rotation0010_20260413_032310_v26a_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,20,0.9500,0.9524,1.0000,0.9000,1.0000,10.06,0.059893,exact,2026-04-12 21:31:35
normal_balanced20_true10_false10_rotation0011_20260413_042258_v26b_gpt-oss-120b,normal_balanced20_true10_false10_rotation0011_20260413_042258_v26b_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26b,v26b,20,0.9500,0.9524,1.0000,0.9000,1.0000,8.65,0.059027,exact,2026-04-12 22:26:09
normal_balanced20_true10_false10_seed0,normal_balanced20_true10_false10_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23b,v23b,20,0.9000,0.9091,1.0000,0.8000,1.0000,17.37,0.018141,exact,2026-04-03 17:20:01
normal_balanced20_true10_false10_seed0,normal_balanced20_true10_false10_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,20,0.9000,0.9091,1.0000,0.8000,1.0000,15.16,0.018681,exact,2026-04-03 17:49:02
normal_balanced20_true10_false10_seed0,normal_balanced20_true10_false10_seed0.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24a,v24a,20,0.8500,0.8571,0.9000,0.8000,1.0000,16.01,0.025329,exact,2026-04-05 16:36:58
normal_balanced20_true10_false10_seed0_v24j_gpt-oss-120b,normal_balanced20_true10_false10_seed0_v24j_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v24j,v24j,20,0.9000,0.9091,1.0000,0.8000,1.0000,13.87,0.055098,exact,2026-04-11 18:34:04
normal_balanced20_true10_false10_seed0_v24j_llama-3-3-70b-instruct,normal_balanced20_true10_false10_seed0_v24j_llama-3-3-70b-instruct.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v24j,v24j,20,0.8000,0.8000,0.8000,0.8000,1.0000,234.38,0.027197,exact,2026-04-11 19:44:20
normal_balanced20_true10_false10_seed0_v26a_gemma-4-31b-it,normal_balanced20_true10_false10_seed0_v26a_gemma-4-31b-it.jsonl,normal,google/gemma-4-31b-it,Gemma 4 31B IT,v26a,v26a,20,0.9000,0.9091,1.0000,0.8000,1.0000,76.26,0.018261,exact,2026-04-11 19:36:28
normal_balanced20_true10_false10_seed0_v26a_gemma-4-31b-it,normal_balanced20_true10_false10_seed0_v26a_gemma-4-31b-it.jsonl,normal,google/gemma-4-31b-it,Gemma 4 31B IT,v26a,v26a,1,1.0000,0.0000,0.0000,1.0000,1.0000,49.01,0.000887,exact,2026-04-11 20:59:41
normal_balanced20_true10_false10_seed0_v26a_gpt-oss-120b,normal_balanced20_true10_false10_seed0_v26a_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,20,0.9000,0.9091,1.0000,0.8000,1.0000,12.70,0.060031,exact,2026-04-11 18:44:37
normal_balanced20_true10_false10_seed0_v26a_gpt-oss-120b,normal_balanced20_true10_false10_seed0_v26a_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,20,0.9000,0.9091,1.0000,0.8000,1.0000,4.39,0.060747,exact,2026-04-11 19:31:09
normal_balanced20_true10_false10_seed0_v26a_llama-3-3-70b-instruct,normal_balanced20_true10_false10_seed0_v26a_llama-3-3-70b-instruct.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v26a,v26a,1,1.0000,0.0000,0.0000,1.0000,1.0000,199.41,0.001341,exact,2026-04-11 21:03:07
normal_balanced20_true10_false10_seed1,normal_balanced20_true10_false10_seed1.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23b,v23b,20,0.8500,0.8696,1.0000,0.7000,1.0000,14.05,0.018175,exact,2026-04-03 17:26:18
normal_balanced20_true10_false10_seed1,normal_balanced20_true10_false10_seed1.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,20,0.8500,0.8696,1.0000,0.7000,1.0000,19.22,0.018305,exact,2026-04-03 17:42:58
normal_balanced20_true10_false10_seed2,normal_balanced20_true10_false10_seed2.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23,v23,20,0.9000,0.9091,1.0000,0.8000,1.0000,10.99,0.014841,exact,2026-04-03 10:12:34
normal_balanced20_true10_false10_seed2,normal_balanced20_true10_false10_seed2.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v23c,v23c,20,0.9000,0.9091,1.0000,0.8000,1.0000,12.02,0.018490,exact,2026-04-03 17:53:09
normal_balanced30_true0_false30_rotation0007_20260412_031528_v26a_gpt-oss-120b,normal_balanced30_true0_false30_rotation0007_20260412_031528_v26a_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,30,0.8333,0.0000,0.0000,0.8333,1.0000,7.74,0.088462,exact,2026-04-11 21:19:59
normal_balanced30_true15_false15_rotation0008_20260412_034307_v26a_gpt-oss-120b,normal_balanced30_true15_false15_rotation0008_20260412_034307_v26a_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,30,0.9000,0.9091,1.0000,0.8000,1.0000,9.10,0.090527,exact,2026-04-11 21:47:55
normal_balanced30_true15_false15_rotation0009_20260412_040515_v26a_gpt-oss-120b,normal_balanced30_true15_false15_rotation0009_20260412_040515_v26a_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,30,0.8000,0.8125,0.8667,0.7333,1.0000,11.08,0.114476,exact,2026-04-11 22:11:06
normal_balanced30_true15_false15_rotation0009_20260412_040515_v26a_gpt-oss-120b,normal_balanced30_true15_false15_rotation0009_20260412_040515_v26a_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26a,v26a,30,0.8000,0.8333,1.0000,0.6000,1.0000,11.91,0.090022,exact,2026-04-11 22:29:42
normal_balanced40_true20_false20_rotation0014_20260415_014503_v26f_gpt-oss-120b,normal_balanced40_true20_false20_rotation0014_20260415_014503_v26f_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26f,v26f,40,0.8000,0.8095,0.8500,0.7500,1.0000,41.62,0.174795,exact,2026-04-14 20:12:48
normal_balanced40_true20_false20_rotation0018_20260415_041933_v27a_gpt-oss-120b,normal_balanced40_true20_false20_rotation0018_20260415_041933_v27a_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v27a,v27a,40,0.6750,0.5806,0.4500,0.9000,1.0000,30.25,0.150861,exact,2026-04-14 22:39:43
normal_balanced50_true10_false40_rotation0012_20260413_161807_v26b_gpt-oss-120b,normal_balanced50_true10_false40_rotation0012_20260413_161807_v26b_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26b,v26b,3,1.0000,0.0000,0.0000,1.0000,1.0000,12.58,0.007666,exact,2026-04-13 10:23:39
normal_balanced50_true10_false40_rotation0012_20260413_161807_v26b_gpt-oss-120b,normal_balanced50_true10_false40_rotation0012_20260413_161807_v26b_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26b,v26b,50,0.8400,0.7143,1.0000,0.8000,1.0000,23.70,0.148618,exact,2026-04-13 10:53:55
normal_balanced50_true10_false40_rotation0012_20260413_161807_v26b_llama-3-3-70b-instruct,normal_balanced50_true10_false40_rotation0012_20260413_161807_v26b_llama-3-3-70b-instruct.jsonl,normal,meta-llama/llama-3.3-70b-instruct,Llama 3.3 70B,v26b,v26b,5,1.0000,1.0000,1.0000,1.0000,1.0000,14.92,0.007297,exact,2026-04-13 10:21:58
normal_balanced50_true10_false40_rotation0012_20260413_161807_v26c_gpt-oss-120b,normal_balanced50_true10_false40_rotation0012_20260413_161807_v26c_gpt-oss-120b.jsonl,normal,openai/gpt-oss-120b,GPT-OSS-120B,v26c,v26c,50,0.8600,0.7200,0.9000,0.8500,0.9800,22.41,0.125880,exact,2026-04-13 13:00:42
